trade_date,code,open,close,high,low,vol,amount,amplitude,pct_chg,chg,turnover_rate,rng,close_pos,ma20,hh20,atr20,atr_pct,amount_ratio,ret20,dist_to_hh20,limit_ups_20,hist_len,rank_score,run_time,reached_limit_up,ll20,ret_5,ret_10,breakout_20,upper_shadow_ratio,close_strength,is_limit_up_today,limit_ups_5,is_limit_up_yday,ts_code,name,ml_prob
20260227,688355,20.8,23.16,24.28,20.73,89525.0,203600192.0,17.29,12.81,2.63,7.22,3.5500000000000007,0.6845070422535209,20.4995,23.16,0.681,0.0294041450777202,5.528301132100241,0.1499503475670307,0.0,1,60,2.038228411482318,2026-03-01 04:11:20,,,,,,,,,,,,,
20260227,10,4.07,4.28,4.48,3.94,1624584.0,678533184.0,13.27,5.16,0.21,19.16,0.5400000000000005,0.6296296296296297,3.6190000000000007,4.28,0.186,0.0434579439252336,5.132346858633989,0.1630434782608696,0.0,1,60,2.0352255180820804,2026-03-01 04:11:20,,,,,,,,,,,,,
20260227,2470,2.96,3.1,3.1,2.9,10852443.0,3291443200.0,,9.93,,33.03,,,2.15,3.1,0.1225,0.039516129032258,7.289198871874484,0.6315789473684212,0.0,5,60,1.4066416219893578,2026-03-01 04:42:45,,1.89,0.4090909090909089,0.5577889447236182,1.0,0.0,1.0,1.0,,,,,
20260227,301226,34.96,41.82,41.82,34.96,181829.0,700198336.0,,20.0,,16.71,,,32.137,41.82,1.5120000000000002,0.0361549497847919,6.189820147205429,0.2711246200607904,0.0,1,60,1.2755615020069488,2026-03-01 04:42:45,,29.81,0.3196591984853265,0.3702490170380079,1.0,0.0,1.0,1.0,,,,,
20260227,603318,7.29,8.02,8.02,7.21,556914.0,433640384.0,,10.01,,12.13,,,7.147,8.02,0.2124999999999998,0.0264962593516209,5.26936808635587,0.1092669432918393,0.0,1,60,1.1715492604524325,2026-03-01 04:42:45,,6.87,0.1327683615819208,0.1408250355618776,1.0,0.0,1.0,1.0,,,,,
20260227,731,7.16,7.89,7.89,7.12,623646.0,477176416.0,,10.04,,11.36,,,6.988499999999999,7.89,0.1909999999999997,0.0242078580481622,5.098562902013961,0.1418234442836468,0.0,1,60,1.1620423521166363,2026-03-01 04:42:45,,6.69,0.143478260869565,0.1518248175182481,1.0,0.0,1.0,1.0,,,,,
20260227,300909,50.0,56.07,57.0,48.69,183783.0,978098240.0,,11.69,,14.95,,,47.453,56.07,2.352000000000001,0.0419475655430711,4.712230979665709,0.1698310035468391,0.0,1,60,1.145048128852575,2026-03-01 04:42:45,,44.99,0.2446170921198669,0.2314957171095981,1.0,0.1119133574007219,0.888086642599278,1.0,,,,,
20260227,669,4.45,4.56,4.56,4.35,516774.0,231963968.0,,5.07,,7.6,,,3.3805,4.56,0.138,0.0302631578947368,4.610276732615047,0.5616438356164382,0.0,0,60,1.2306138260841777,2026-03-01 05:13:56,,2.95,0.2808988764044942,0.504950495049505,1.0,0.0,1.0,0.0,0.0,0.0,,,
20260227,791,7.2,7.71,7.87,7.15,1527722.0,1170650368.0,,7.83,,7.89,,,6.821000000000001,7.71,0.2185,0.0283398184176394,5.01804385382732,0.1141618497109826,0.0,0,60,1.193622032076787,2026-03-01 05:28:02,,6.51,0.1388478581979322,0.161144578313253,1.0,0.2222222222222225,0.7777777777777775,0.0,0.0,0.0,000791.SZ,甘肃能源,
20260227,1282,21.95,23.4,23.75,21.77,133786.0,305923552.0,,6.36,,17.12,,,21.345,23.4,0.5929999999999996,0.0253418803418803,4.548803999313429,0.0381543921916591,0.0,0,60,1.1514854508414645,2026-03-01 05:28:02,,20.45,0.0975609756097559,0.1353711790393013,1.0,0.1767676767676774,0.8232323232323225,0.0,0.0,0.0,001282.SZ,三联锻造,
20260227,600644,11.9,12.95,13.29,11.9,1147693.0,1464410496.0,,7.2,,19.85,,,11.337500000000002,12.95,0.3795,0.0293050193050193,4.27457582208798,0.1419753086419752,0.0,0,60,1.1274065168030103,2026-03-01 05:28:02,,10.92,0.1439929328621907,0.1858974358974359,1.0,0.2446043165467627,0.7553956834532373,0.0,0.0,0.0,600644.SH,乐山电力,
20260227,603070,15.93,16.92,17.15,15.93,199711.0,333018752.0,,6.21,,5.05,,,14.861,16.92,0.4764999999999998,0.0281619385342789,3.7857817971326098,0.1348088531187123,0.0,0,60,1.0896564445508825,2026-03-01 05:28:02,,14.18,0.144790257104195,0.1733703190013871,1.0,0.188524590163932,0.8114754098360679,0.0,0.0,0.0,603070.SH,万控智造,
20260227,2019,12.91,13.34,13.4,12.8,604027.0,790428608.0,,1.83,,7.18,,,12.3625,13.34,0.3279999999999998,0.0245877061469265,3.777633788952688,0.0562153602533648,0.0,0,60,1.086215767859783,2026-03-01 05:28:02,,11.83,0.0952380952380953,0.1024793388429752,1.0,0.1000000000000009,0.8999999999999991,0.0,0.0,0.0,002019.SZ,亿帆医药,
